Asset Name,Last Close,1M % Chg,YTD % Chg,52w Low,52w High,52w Range,Last 10 Days Return,Category
Prologis,136.53,6.340057636887621,6.948143506188316,89.76,136.95,47.18999999999998,"[1.8, -1.22, 2.58, 0.12, -0.67, 1.7, 2.24, 0.96, 0.59, -0.31]",Equities - Sector Constituents
Home Depot,378.97,5.398264545555686,10.13368206916594,332.38,423.42,91.04000000000002,"[-1.6, -1.33, -0.93, 0.75, 0.94, 0.79, 1.6, -1.25, 0.73, -1.6]",Equities - Sector Constituents
EWY ETF,126.13,18.331926071864142,29.736679695535894,48.92,126.13,77.21,"[4.59, 2.33, -0.84, -1.68, -1.21, 2.8, -3.27, -0.04, 3.74, 1.13]",ETFs - Countries
EWA ETF,28.8,9.215017064846414,9.965635738831613,20.82,28.8,7.98,"[2.24, -0.25, 0.89, -2.36, 0.72, 0.61, 0.82, -1.8, 1.4, 2.02]",ETFs - Countries
EWJ ETF,91.08,9.920347574221577,12.80653950953679,61.32,91.08,29.759999999999998,"[1.43, -0.73, 1.03, -0.43, 0.2, 0.92, 0.93, -1.59, 3.83, 1.88]",ETFs - Countries
EWQ ETF,46.95,3.2776066871975407,4.356523671927097,35.65,46.95,11.300000000000004,"[1.1, -1.34, 0.64, -1.03, 0.73, 0.02, 0.74, -0.65, 1.47, 1.19]",ETFs - Countries
EWC ETF,55.97,2.772677194271021,3.7826812534767273,37.17,56.53,19.36,"[0.88, 0.3, 0.32, -4.02, 0.53, 0.53, 0.31, -1.58, 1.61, 1.75]",ETFs - Countries
EWL ETF,63.46,5.39777445607042,5.837224816544363,47.04,63.46,16.42,"[2.26, -2.43, 1.92, -1.09, 1.15, -0.58, 0.94, -0.37, 1.37, 0.59]",ETFs - Countries
EWI ETF,57.59,4.254163649529329,6.000368120743613,36.6,57.59,20.990000000000002,"[2.24, -1.41, 0.61, -0.52, 0.88, 0.99, 0.04, -2.19, 1.04, 2.33]",ETFs - Countries
INDY ETF,48.4,-0.7383100902378987,-1.805640089267601,46.71,54.73,8.019999999999996,"[0.55, -0.87, 0.56, 0.09, 2.76, -0.17, 0.33, -0.74, 0.64, -0.03]",ETFs - Countries
EWP ETF,57.44,4.817518248175183,6.547950287516232,33.94,57.44,23.5,"[1.79, -1.96, 0.86, -0.12, 1.01, -1.07, 0.76, -2.59, 2.26, 1.74]",ETFs - Countries
EWU ETF,46.97,5.313901345291474,6.798544793087773,33.19,47.05,13.86,"[1.46, -0.56, 0.43, -0.6, 0.82, -0.15, 1.25, -2.36, 2.09, 0.15]",ETFs - Countries
EWG ETF,44.27,2.2165781574694083,4.164705882352949,33.22,44.3,11.079999999999998,"[1.05, -0.65, -1.3, -0.76, 0.86, 0.07, -0.6, -0.95, 1.61, 1.7]",ETFs - Countries
EUSA ETF,107.59,1.4138938637006315,4.082422366257133,82.93,107.59,24.659999999999997,"[-0.1, -0.24, -0.23, -0.59, 0.42, -0.44, 0.61, -1.02, 2.18, 0.25]",ETFs - Countries
EWH ETF,23.71,7.139629462268422,11.576470588235297,15.2,23.72,8.52,"[1.93, 1.2, 0.72, -1.43, -0.56, 0.52, 0.56, -0.72, 1.29, 0.34]",ETFs - Countries
EIS ETF,120.99,3.711640665180866,9.960919749159313,69.8,121.5,51.7,"[0.91, -0.57, -0.87, -0.58, 1.45, 0.65, -0.7, -1.56, 0.96, 0.9]",ETFs - Countries
VEA ETF,68.25,6.740694401000942,9.252441171762447,45.65,68.25,22.6,"[1.63, -0.66, 0.52, -1.3, 0.39, 0.39, 0.12, -1.35, 2.23, 1.3]",ETFs - Popular
SPY ETF,694.86,0.775913329755917,1.89758329422807,496.48,695.49,199.01,"[0.4, -0.01, -0.2, -0.3, 0.5, -0.85, -0.48, -1.25, 1.92, 0.61]",ETFs - Popular
USMV ETF,95.86,1.4176893779094408,1.8054375531011075,85.42,96.03,10.61,"[-0.2, -0.18, -0.5, 0.33, 0.41, -0.52, 0.26, -0.21, 1.16, -0.18]",ETFs - Popular
VTI ETF,342.49,0.6908919856529732,2.1534882333641625,243.75,343.27,99.51999999999998,"[0.36, -0.06, -0.23, -0.5, 0.56, -0.77, -0.47, -1.29, 2.11, 0.45]",ETFs - Popular
GSG ETF,25.13,6.573367260390165,8.976582827406766,20.19,25.97,5.779999999999998,"[1.53, 1.11, 1.8, -1.89, -4.0, 2.45, 0.0, -1.44, 0.89, 0.84]",ETFs - Popular
QQQ ETF,615.25,-0.841297725917454,0.15301720629650417,416.06,635.77,219.70999999999998,"[0.91, 0.33, -0.6, -1.2, 0.69, -1.54, -1.75, -1.44, 2.11, 0.92]",ETFs - Popular
EEM ETF,60.56,6.488482503956401,10.692743556936577,38.52,60.75,22.229999999999997,"[1.98, 0.68, -0.51, -2.22, 0.3, 0.54, -1.34, -0.46, 2.63, 0.82]",ETFs - Popular
ARKK ETF,72.4,-10.117939168218488,-5.876235049401971,40.51,92.53,52.02,"[-0.19, -1.04, -1.65, -3.57, -0.68, -1.24, -4.7, -5.23, 6.15, 2.83]",ETFs - Popular
