date,open,high,low,close,volume
2019-08-15,150.0,150.29999999999998,144.5,145.35,5300000.0
2019-08-16,148.4,150.4125,146.5,149.0,5330000.0
2019-08-19,148.95,150.9,148.95,150.35,4800000.0
2019-08-20,150.65,152.20000000000002,149.65,150.1,6220000.0
2019-08-21,150.65,154.5,150.2125,154.04999999999998,2780000.0
2019-08-22,152.25,155.5,152.25,154.65,3230000.0
2019-08-23,154.85,155.9,150.2,150.2,4790000.0
2019-08-27,150.0,150.9,147.45,150.9,8000000.0
2019-08-28,150.15,152.6,149.3,152.4,6490000.0
2019-08-29,152.4,155.15,152.3,154.8,4700000.0
2019-08-30,153.15,156.54999999999998,153.15,154.25,7070000.0
2019-09-02,153.6,157.20000000000002,153.0,156.64999999999998,7940000.0
2019-09-03,157.79999999999998,157.79999999999998,154.25,154.45,4780000.0
2019-09-04,155.5,156.85,155.25,155.6,5780000.0
2019-09-05,156.2,159.35,155.1,158.8,7980000.0
2019-09-06,158.75,160.39999999999998,157.7,160.04999999999998,8520000.0
2019-09-09,161.85,162.5,157.4,158.15,9430000.0
2019-09-10,160.45000000000002,172.89999999999998,158.65,172.04999999999998,15670000.0
2019-09-11,176.4,178.70000000000002,173.4,177.95000000000002,16820000.0
2019-09-12,180.65,180.65,176.0,177.5,15770000.0
2019-09-13,177.54999999999998,182.2,176.1,182.2,12250000.0
2019-09-16,181.4,182.5,178.25,178.9,11340000.0
2019-09-17,179.25,179.75,176.95,177.45000000000002,9100000.0
2019-09-18,178.29999999999998,179.14999999999998,177.10000000000002,178.1,6610000.0
2019-09-19,179.05,179.4125,171.70000000000002,173.0,10450000.0
2019-09-20,173.29999999999998,175.85000000000002,171.45,173.75,13060000.0
2019-09-23,174.3,175.2,172.45000000000002,174.14999999999998,7970000.0
2019-09-24,174.3,177.25,173.15,176.75,12430000.0
2019-09-25,176.14999999999998,176.55,173.55,175.35,6940000.0
2019-09-26,176.20000000000002,182.2,173.95,181.0,12120000.0
2019-09-27,181.0,185.65,180.35,184.05,10410000.0
2019-09-30,185.04999999999998,188.75,184.25,187.85,13490000.0
2019-10-01,188.25,188.70000000000002,184.0,188.0,32900000.0
2019-10-02,186.14999999999998,187.5,182.0,182.8,8930000.0
2019-10-03,181.25,184.20000000000002,179.23749999999998,183.6,8310000.000000001
2019-10-04,185.0,188.55,183.45,188.55,7910000.0
2019-10-07,189.95000000000002,189.95000000000002,182.35,183.70000000000002,9940000.0
2019-10-08,185.55,185.55,180.15,182.2,7370000.0
2019-10-09,181.35000000000002,183.70000000000002,181.25,182.5,11400000.0
2019-10-10,181.85,183.85000000000002,180.6,183.1,9510000.0
2019-10-11,183.1,190.5,182.85,190.2,11100000.0
2019-10-14,190.79999999999998,192.5,187.15,192.10000000000002,8680000.0
2019-10-15,194.8,196.55,191.4,195.25,9930000.0
2019-10-16,196.6,196.6,191.70000000000002,193.75,6910000.0
2019-10-17,195.0,198.85000000000002,190.39999999999998,194.1,7710000.0
2019-10-18,194.25,194.25,192.15,192.5,6870000.0
2019-10-21,192.60000000000002,193.70000000000002,191.29999999999998,192.65,7630000.0
2019-10-22,192.95000000000002,193.85000000000002,190.10000000000002,193.79999999999998,6050000.0
2019-10-23,192.60000000000002,193.70000000000002,190.83749999999998,191.9,7430000.0
2019-10-24,191.75,194.05,190.85000000000002,190.9,9140000.0
2019-10-25,189.95000000000002,192.3,189.25,191.8,6250000.0
2019-10-28,191.25,193.9,191.25,193.6,5880000.0
2019-10-29,193.6,193.6,191.64999999999998,193.1,4550000.0
2019-10-30,192.04999999999998,192.85,191.0,192.39999999999998,5440000.0
2019-10-31,193.75,193.75,190.75,192.10000000000002,6270000.0
2019-11-01,192.60000000000002,194.0,191.1875,192.5,8380000.000000001
2019-11-04,192.89999999999998,193.6875,189.5,189.54999999999998,6100000.0
2019-11-05,189.95000000000002,191.45,188.85000000000002,189.89999999999998,6250000.0
2019-11-06,190.35,190.85000000000002,183.6,185.45000000000002,10710000.0
2019-11-07,185.35,188.9,185.35,186.25,8240000.0
2019-11-08,185.85000000000002,186.35000000000002,183.1,183.79999999999998,10410000.0
2019-11-11,183.45,188.5,182.5,187.85,10560000.0
2019-11-12,187.25,188.79999999999998,185.04999999999998,188.2,9370000.0
2019-11-13,188.25,189.14999999999998,186.45,188.85000000000002,7620000.0
2019-11-14,188.75,189.4,184.7,186.70000000000002,6910000.0
2019-11-15,188.75,189.5,186.29999999999998,189.25,7990000.0
2019-11-18,190.0,194.14999999999998,189.7,192.5,7490000.0
2019-11-19,193.79999999999998,195.10000000000002,189.14999999999998,190.0,7810000.0
2019-11-20,187.45000000000002,191.20000000000002,185.85000000000002,189.05,13740000.0
2019-11-21,188.85000000000002,190.7,186.8,189.7,9220000.0
2019-11-22,190.39999999999998,197.15,190.25,196.95,13170000.0
2019-11-25,196.6,201.85,196.6,201.75,11930000.0
